Product_ID,links,title,short_title,price,description,Date_Time
44,https://www.bakingo.com/sites/default/files/styles/might_like/public/tiramisu-cheese-cake-A.jpg?itok=6NcDuAxP,Tiramisu Cheese Cake,Tiramisu Cheese Cake,"Rs. 1,450","When coffee, cheese and cream come together, all you get is an impeccably delicious treat.",2018-02-24 21:04:25.460425
45,https://www.bakingo.com/sites/default/files/styles/might_like/public/heart-shape-chocolate-cake-A.jpg?itok=EIxE3AJm,Exotic Affair,Heart Shaped Chocolate Cake,Rs. 950,Stay hooked to deliciousness of this heart-shaped Chocolate cake that'll add charm to your fete!,2018-02-24 21:04:25.460425
46,https://www.bakingo.com/sites/default/files/styles/might_like/public/mango-cheese-cake-A.jpg?itok=U3KUgoCk,Sunshine Poise,Mango Cheese Cake,"Rs. 1,450",Satiate your summertime desires with this delicious mango cake that'll leave you with a sweet craving.,2018-02-24 21:04:25.460425
47,https://www.bakingo.com/sites/default/files/styles/might_like/public/pineaple-upside-down-cake-A.jpg?itok=6F0CL04w,Sun-kissed Joys,Pineapple Upside Down Cake,Rs. 950,This mushy cake baked with pineapple & cherries is a wholesome treat to surprise you with a unique flavor,2018-02-24 21:04:25.460425
48,https://www.bakingo.com/sites/default/files/styles/might_like/public/strawberry-sensation-cake-A.jpg?itok=b_nGWuGW,Eternal Sweetness,Strawberry Sensation Cake,"Rs. 1,450",A tender cake so lusciously delicious that you would not stop dreaming about this multi-layered mushy ecstasy.,2018-02-24 21:04:25.460425
49,https://www.bakingo.com/sites/default/files/styles/might_like/public/irish-cream-cake-A.jpg?itok=B70apK1B,Irish Delight,Irish Coffee Cake,Rs. 500,Time for some Irish Shots! Savour the scrumptious taste of magnificently rich and intensely flavoured Irish cake!,2018-02-24 21:04:25.460425
50,https://www.bakingo.com/sites/default/files/styles/might_like/public/opera-cake-A.jpg?itok=gdm9oBYJ,Caffe-Elixir,Coffee Opera Cake,Rs. 550,Kick-start your day with divine coffee flavours infused in this perfectly delicious treat meant for coffee-holics!,2018-02-24 21:04:25.460425
51,https://www.bakingo.com/sites/default/files/styles/might_like/public/5-star-cake-A.jpg?itok=mG2RNje6,Twisted B.F.Tale,Five Star Cake,Rs. 550,A little twist to this Black Forest with 5-star chunks is bound to leave you drooling for more after every bite.,2018-02-24 21:04:25.460425
52,https://www.bakingo.com/sites/default/files/styles/might_like/public/vanilla-strawberry-cake-A.jpg?itok=c9qkmRkk,Secret Confession,Heart Shaped Vanilla Strawberry Cake,Rs. 950,"As the ""Official Dessert of Romance"", this strawberry cake is truly a crowd-pleaser.",2018-02-24 21:04:25.460425
53,https://www.bakingo.com/sites/default/files/styles/might_like/public/royal-cherry-cake-A.jpg?itok=YmC8j56D,Cherry-Indulgence,Royal Cherry Cake,Rs. 650,"We kept this Classic simply unblemished, no twist, no turn, just as original as it can be - Soft & Mushy!",2018-02-24 21:04:25.460425
54,https://www.bakingo.com/sites/default/files/styles/might_like/public/mango-cake-A.jpg?itok=PUPFxAMg,Mango Magic,Mango Cake,Rs. 525,Why relish your favourite fruit just in summers when you can have it anytime of the year in this Ultimate Desert!,2018-02-24 21:04:25.460425
55,https://www.bakingo.com/sites/default/files/styles/might_like/public/coffee-cake-A.jpg?itok=rKD6cVIC,Caffeine Blitz,Coffee Cake,Rs. 525,There is one more kind of love in this World - the love for Coffee. Feel it in this epic desert form!,2018-02-24 21:04:25.460425
56,https://www.bakingo.com/sites/default/files/styles/might_like/public/double-heart-choco-truffle-cake-A.jpg?itok=XmHIldmh,Amore Mio,Heart Shaped Double Heart Choco Truffle Cake,Rs. 699,"Are You a Chocolate Addict? Yes! This striking, tender, and luxurious layer cake is for you.",2018-02-24 21:04:25.460425
